date,BTC,ETH,ADA,XRP
2020-12-17,22797.16,642.7,0.16336,0.5769
2020-12-18,23107.39,653.85,0.16502,0.58337
2020-12-19,23821.61,658.03,0.16433,0.57666
2020-12-20,23455.52,638.18,0.16201,0.55586
2020-12-21,22719.71,607.58,0.15278,0.51445
2020-12-22,23810.79,636.45,0.15646,0.44642
2020-12-23,23232.76,585.56,0.13635,0.2605
2020-12-24,23729.2,612.31,0.15304,0.33863
2020-12-25,24712.47,626.82,0.15761,0.31768
2020-12-26,26493.39,637.44,0.15839,0.29481
2020-12-27,26281.66,685.11,0.15467,0.28407
2020-12-28,27079.41,730.41,0.17627,0.24845
2020-12-29,27385.0,732.0,0.19067,0.22142
2020-12-30,28875.54,752.17,0.18389,0.21138
2020-12-31,28923.63,736.42,0.18134,0.21959
2021-01-01,29331.69,728.91,0.17509,0.23746
2021-01-02,32178.33,774.56,0.17742,0.22064
2021-01-03,33000.05,978.28,0.20615,0.2254
2021-01-04,31988.71,1041.43,0.22528,0.23565
2021-01-05,33949.53,1099.56,0.25873,0.22573
2021-01-06,36769.36,1208.42,0.33309,0.24854
2021-01-07,39432.28,1224.87,0.29928,0.32389
2021-01-08,40582.81,1216.93,0.30389,0.32032
2021-01-09,40088.22,1276.0,0.33062,0.32419
2021-01-10,38150.02,1254.25,0.30153,0.31491
2021-01-11,35404.47,1087.01,0.2757,0.28743
2021-01-12,34051.24,1050.16,0.28888,0.29254
2021-01-13,37371.38,1129.89,0.3123,0.30582
2021-01-14,39144.5,1231.62,0.31201,0.29642
2021-01-15,36742.22,1168.53,0.30188,0.27991
2021-01-16,35994.98,1227.83,0.35071,0.27924
2021-01-17,35828.61,1232.45,0.38081,0.27746
2021-01-18,36631.27,1258.45,0.37123,0.28528
2021-01-19,35891.49,1365.36,0.3672,0.29396
2021-01-20,35468.23,1376.99,0.37532,0.29539
2021-01-21,30850.13,1110.96,0.30785,0.26802
2021-01-22,32945.17,1232.62,0.34867,0.27217
2021-01-23,32078.0,1233.6,0.34583,0.27167
2021-01-24,32259.9,1392.51,0.35345,0.27339
2021-01-25,32254.2,1317.88,0.34308,0.26757
2021-01-26,32467.77,1365.97,0.3433,0.26834
2021-01-27,30366.15,1239.03,0.31144,0.25039
2021-01-28,33364.86,1329.69,0.34409,0.26407
2021-01-29,34252.2,1379.5,0.34752,0.2829
2021-01-30,34262.88,1378.05,0.364,0.44372
2021-01-31,33092.98,1312.55,0.34475,0.49507
2021-02-01,33526.37,1374.17,0.40876,0.37106
2021-02-02,35466.24,1511.87,0.42498,0.37254
2021-02-03,37618.87,1664.49,0.44189,0.39721
2021-02-04,36936.66,1595.67,0.43934,0.44545
2021-02-05,38290.24,1719.19,0.53917,0.45219
2021-02-06,39186.94,1676.35,0.63444,0.44307
2021-02-07,38795.69,1611.62,0.66109,0.41849
2021-02-08,46374.87,1750.15,0.67638,0.45099
2021-02-09,46420.42,1769.13,0.70562,0.47636
2021-02-10,44807.58,1740.78,0.93966,0.50429
2021-02-11,47969.51,1785.62,0.92796,0.52806
2021-02-12,47287.6,1840.26,0.92426,0.609
2021-02-13,47153.69,1814.96,0.91299,0.63309
2021-02-14,48577.79,1800.42,0.84364,0.59211
2021-02-15,47911.1,1779.25,0.86143,0.54976
2021-02-16,49133.45,1781.99,0.87,0.51995
2021-02-17,52119.71,1849.88,0.89206,0.53467
2021-02-18,51552.6,1939.61,0.91442,0.53204
2021-02-19,55906.0,1955.0,0.92581,0.56465
2021-02-20,55841.19,1913.0,1.11568,0.51167
2021-02-21,57408.57,1933.53,1.09894,0.54468
2021-02-22,54087.67,1777.58,1.09703,0.56646
2021-02-23,48891.0,1577.89,0.96197,0.47579
2021-02-24,49676.2,1623.39,1.04902,0.4686
