Date,IPCA2030,Selic2027
2020-12-17,4324.229,913.74
2020-12-18,4261.33,913.104
2020-12-21,4302.937,913.002
2020-12-22,4278.076,915.107
2020-12-23,4300.726,915.62
2020-12-28,4311.296,916.643
2020-12-29,4330.889,916.8
2020-12-30,4321.75,917.309
2021-01-04,4364.397,919.026
2021-01-05,4300.965,919.706
2021-01-06,4320.65,915.501
2021-01-07,4245.531,914.969
2021-01-08,4233.638,912.716
2021-01-11,4178.951,911.058
2021-01-12,4253.699,908.451
2021-01-13,4241.847,909.593
2021-01-14,4220.294,908.301
2021-01-15,4242.914,908.47
2021-01-18,4243.447,907.833
2021-01-19,4203.487,908.646
2021-01-20,4200.968,908.334
2021-01-21,4189.328,909.145
2021-01-22,4165.671,906.919
2021-01-26,4272.94,908.377
2021-01-27,4188.446,908.866
2021-01-28,4244.647,909.355
2021-01-29,4321.22,912.707
2021-02-01,4258.018,913.67
2021-02-02,4277.081,912.401
2021-02-03,4286.908,913.52
2021-02-04,4262.69,915.593
2021-02-05,4263.221,913.216
2021-02-08,4220.042,911.806
2021-02-09,4205.387,912.289
2021-02-10,4218.054,912.928
2021-02-11,4218.583,913.88
2021-02-12,4216.077,912.793
2021-02-17,4110.977,911.559
2021-02-18,4102.433,910.178
2021-02-19,4093.918,910.352
2021-02-22,4067.499,909.447
2021-02-23,4098.233,907.171
2021-02-24,4059.648,908.726
2021-02-25,4057.613,908.14
2021-02-26,4007.743,905.436
2021-03-01,4032.226,905.318
2021-03-02,3976.946,901.454
2021-03-03,4015.834,901.342
2021-03-04,4030.464,901.237
2021-03-05,4084.252,904.556
2021-03-08,4043.323,906.835
2021-03-09,4046.816,902.977
2021-03-10,4092.307,902.414
2021-03-11,4047.914,901.903
2021-03-12,4048.463,900.484
2021-03-15,4061.412,899.367
2021-03-16,4159.585,899.273
2021-03-17,4160.164,898.617
2021-03-18,4139.741,898.385
2021-03-19,4086.961,896.574
2021-03-22,4072.907,896.78
2021-03-23,3914.633,895.986
2021-03-24,4039.248,894.062
2021-03-25,3910.241,891.171
2021-03-26,3968.309,894.062
2021-03-29,3946.263,894.134
2021-03-30,3955.346,893.645
2021-03-31,3953.13,894.982
2021-04-01,3918.86,896.318
2021-04-05,3894.398,895.828
2021-04-06,3906.122,895.9
2021-04-07,3938.696,895.276
2021-04-08,3973.135,893.963
2021-04-09,3951.156,895.843
